OBJECTID,PHpH,ALK_MGL,COND_USCM,BOD_MGL,NO2_N_MGL,CUSOL1_MGL,CUSOL2_UGL,FESOL1_UGL,ZN_SOL_UGL
109521,7.8,77,276,2.3,0.012,0.0015,1,430.65,5
109522,7.3,38,203,3.8,0.024,0.0026,3.4,232.86,5
110352,7.8,67,209,2.4,0.012,,3.92,414.64,24.59
110383,7.8,74,267,3,0.005,0.0017,3.08,501.85,17.75
110384,7.6,43,248,2.9,0.047,,4.42,236.3,12.66
110535,8,54,191,3,0.006,,2.86,50,5
110567,7.9,67,240,2,0.005,0.001,1.72,50,5
110568,7.7,64,250,2,0.008,0.001,2.3,50,5
110727,7.9,65,223,2.3,0.015,,6.93,352.08,8.76
110758,7.8,82,450,2.5,0.034,0.001,1.48,167.07,5
110759,7.7,40,218,2.7,0.015,0.0021,5.42,260.1,44.87
110905,8.8,31,124,2.9,0.007,,1.46,50,5
110936,7.6,40,151,2,0.005,0.0054,1,50,5
110937,7.4,38,158,2,0.007,0.0027,0.76,50,5
111078,7,10,38,2,0.005,,0.3,50,5.27
111111,6.3,10,51,2,0.005,0.002,0.42,61.47,5
111257,7.9,53,186,2,0.006,,2.92,50,5
111288,8,65,235,2.2,0.005,0.0014,1.81,50,5
111289,7.7,65,245,2,0.008,0.0022,2.03,50,5
111798,7.2,10,48,2,0.005,,0.33,50,5
111830,6.6,10,52,2,0.005,0.001,2.76,50,10.42
111931,8,89,308,2,0.024,0.0015,1.87,82.45,5
111961,7.8,89,444,2,0.026,0.001,2.22,65.35,5
111962,7.5,46,329,2,0.048,0.0013,4.22,63.33,7.42
112517,7.8,63,230,2.5,0.006,,0.49,678.11,5
112549,7.7,46,190,2.3,0.006,0.0036,1,797.32,5
112550,7.5,33,129,2,0.007,,0.74,715.63,5
112757,8.2,90,259,2,0.005,,0.77,384.71,5
112789,7.8,79,236,2,0.005,0.0048,1,592.19,5
112790,7.7,53,169,2,0.005,0.001,1.02,514.6,5
113318,8,80,233,2.1,0.005,,0.94,666.88,5
113350,7.9,65,204,2,0.005,0.0016,1.63,753.14,5
113351,7.6,40,140,2,0.005,0.0014,1.15,674.73,5
114261,8.4,78,223,2,0.005,0.001,2.42,150.85,5
114291,8,87,247,2,0.005,0.001,1.34,50,5
114292,8,87,250,2,0.005,0.001,1.58,60.54,1
114852,8.2,13,88,2,0.005,0.001,0.83,343,5
114882,7.1,9,74,2,0.006,0.003,0.45,438,5
114883,6.6,7,64,2,0.005,0.0022,1,410,1.68
115099,8.2,62,192,2,0.005,,1.65,163.32,5
115130,7.9,74,225,2,0.005,0.0013,1.47,105.34,5
115131,7.9,71,216,2,0.006,0.0025,1.31,122.19,5
115469,7.5,18,103,2.1,0.005,,0.55,438.95,5
